COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Siskiyou,2021,Total population,All ages,All ages,76.0,21.4,
Solano,2021,Total population,All ages,All ages,1709.0,40.7,
Sonoma,2021,Total population,All ages,All ages,674.0,14.8,
Stanislaus,2021,Total population,All ages,All ages,1772.0,32.0,
Sutter,2021,Total population,All ages,All ages,215.0,22.7,
Tehama,2021,Total population,All ages,All ages,189.0,31.9,
Trinity,2021,Total population,All ages,All ages,33.0,33.2,
Tulare,2021,Total population,All ages,All ages,1281.0,26.3,
Tuolumne,2021,Total population,All ages,All ages,104.0,24.5,
Ventura,2021,Total population,All ages,All ages,1315.0,16.7,
Yolo,2021,Total population,All ages,All ages,438.0,21.6,
Yuba,2021,Total population,All ages,All ages,235.0,31.2,
Alameda,2022,Total population,,All ages,5209.0,32.8,
Alpine,2022,Total population,,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2022,Total population,,All ages,121.0,39.1,
Butte,2022,Total population,,All ages,507.0,23.8,
Calaveras,2022,Total population,,All ages,119.0,36.4,
Colusa,2022,Total population,,All ages,95.0,43.2,
Contra Costa,2022,Total population,,All ages,4254.0,40.0,
Del Norte,2022,Total population,,All ages,98.0,41.4,
El Dorado,2022,Total population,,All ages,417.0,25.3,
Fresno,2022,Total population,,All ages,4726.0,45.4,
Glenn,2022,Total population,,All ages,90.0,31.9,
Humboldt,2022,Total population,,All ages,453.0,37.5,
Imperial,2022,Total population,,All ages,547.0,27.7,
Inyo,2022,Total population,,All ages,63.0,41.9,
Kern,2022,Total population,,All ages,2671.0,28.6,
Kings,2022,Total population,,All ages,587.0,36.7,
Lake,2022,Total population,,All ages,319.0,56.8,
Lassen,2022,Total population,,All ages,70.0,23.7,
Los Angeles,2022,Total population,,All ages,33234.0,35.2,
Madera,2022,Total population,,All ages,675.0,43.2,
Marin,2022,Total population,,All ages,379.0,17.4,
Mariposa,2022,Total population,,All ages,28.0,21.5,
Mendocino,2022,Total population,,All ages,418.0,53.1,
Merced,2022,Total population,,All ages,1375.0,47.4,
Modoc,2022,Total population,,All ages,44.0,62.0,
Mono,2022,Total population,,All ages,41.0,33.7,
Monterey,2022,Total population,,All ages,1345.0,31.3,
Napa,2022,Total population,,All ages,312.0,25.5,
Nevada,2022,Total population,,All ages,152.0,19.8,
Orange,2022,Total population,,All ages,6726.0,22.9,
Placer,2022,Total population,,All ages,852.0,24.4,
Plumas,2022,Total population,,All ages,49.0,28.5,
Riverside,2022,Total population,,All ages,8262.0,34.9,
Sacramento,2022,Total population,,All ages,6090.0,40.5,
San Benito,2022,Total population,,All ages,222.0,37.4,
San Bernardino,2022,Total population,,All ages,8405.0,38.5,
San Diego,2022,Total population,,All ages,8257.0,25.9,
San Francisco,2022,Total population,,All ages,1756.0,23.6,
San Joaquin,2022,Total population,,All ages,3596.0,47.4,
San Luis Obispo,2022,Total population,,All ages,549.0,23.3,
San Mateo,2022,Total population,,All ages,1446.0,20.6,
Santa Barbara,2022,Total population,,All ages,868.0,19.8,
Santa Clara,2022,Total population,,All ages,3976.0,21.2,
Santa Cruz,2022,Total population,,All ages,521.0,20.6,
Shasta,2022,Total population,,All ages,414.0,25.5,
Sierra,2022,Total population,,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2022,Total population,,All ages,98.0,27.7,
Solano,2022,Total population,,All ages,2238.0,53.7,
Sonoma,2022,Total population,,All ages,1143.0,26.6,
Stanislaus,2022,Total population,,All ages,2138.0,38.6,
Sutter,2022,Total population,,All ages,255.0,26.3,
Tehama,2022,Total population,,All ages,200.0,35.1,
Trinity,2022,Total population,,All ages,39.0,32.8,
Tulare,2022,Total population,,All ages,1528.0,30.8,
Tuolumne,2022,Total population,,All ages,121.0,28.4,
Ventura,2022,Total population,,All ages,1959.0,25.1,
Yolo,2022,Total population,,All ages,557.0,27.5,
Yuba,2022,Total population,,All ages,316.0,40.4,
Alameda,2023,Total population,,All ages,6334.0,39.7,
Alpine,2023,Total population,,All ages,0.0,0.0,
Amador,2023,Total population,,All ages,216.0,66.6,
Butte,2023,Total population,,All ages,550.0,24.8,
Calaveras,2023,Total population,,All ages,130.0,40.8,
Colusa,2023,Total population,,All ages,73.0,32.5,
Contra Costa,2023,Total population,,All ages,5186.0,48.4,
Del Norte,2023,Total population,,All ages,164.0,66.7,
El Dorado,2023,Total population,,All ages,496.0,31.0,
Fresno,2023,Total population,,All ages,4523.0,43.4,
Glenn,2023,Total population,,All ages,94.0,33.3,
Humboldt,2023,Total population,,All ages,485.0,40.5,
Imperial,2023,Total population,,All ages,731.0,36.9,
Inyo,2023,Total population,,All ages,78.0,51.4,
Kern,2023,Total population,,All ages,2963.0,31.9,
Kings,2023,Total population,,All ages,601.0,36.9,
Lake,2023,Total population,,All ages,325.0,58.3,
Lassen,2023,Total population,,All ages,75.0,26.9,
Los Angeles,2023,Total population,,All ages,36845.0,39.0,
Madera,2023,Total population,,All ages,564.0,35.9,
Marin,2023,Total population,,All ages,511.0,25.1,
Mariposa,2023,Total population,,All ages,60.0,46.6,
Mendocino,2023,Total population,,All ages,382.0,48.5,
Merced,2023,Total population,,All ages,1443.0,50.5,
Modoc,2023,Total population,,All ages,30.0,40.1,
Mono,2023,Total population,,All ages,32.0,26.5,
Monterey,2023,Total population,,All ages,1453.0,33.5,
Napa,2023,Total population,,All ages,347.0,27.6,
Nevada,2023,Total population,,All ages,229.0,30.1,
Orange,2023,Total population,,All ages,7594.0,25.8,
Placer,2023,Total population,,All ages,1022.0,29.2,
Plumas,2023,Total population,,All ages,50.0,31.9,
Riverside,2023,Total population,,All ages,8705.0,36.4,
Sacramento,2023,Total population,,All ages,7205.0,47.5,
San Benito,2023,Total population,,All ages,265.0,46.4,
San Bernardino,2023,Total population,,All ages,9179.0,41.9,
San Diego,2023,Total population,,All ages,8896.0,27.9,
San Francisco,2023,Total population,,All ages,2271.0,29.4,
San Joaquin,2023,Total population,,All ages,4220.0,54.9,
San Luis Obispo,2023,Total population,,All ages,632.0,26.7,
San Mateo,2023,Total population,,All ages,1814.0,25.8,
Santa Barbara,2023,Total population,,All ages,949.0,21.6,
Santa Clara,2023,Total population,,All ages,4664.0,24.8,
Santa Cruz,2023,Total population,,All ages,630.0,25.4,
Shasta,2023,Total population,,All ages,515.0,32.1,
Sierra,2023,Total population,,All ages,8.0,,Rate not available due to statistical instability
Siskiyou,2023,Total population,,All ages,130.0,33.7,
Solano,2023,Total population,,All ages,2709.0,64.8,
Sonoma,2023,Total population,,All ages,1417.0,32.5,
Stanislaus,2023,Total population,,All ages,2379.0,42.9,
Sutter,2023,Total population,,All ages,265.0,27.9,
Tehama,2023,Total population,,All ages,232.0,40.4,
Trinity,2023,Total population,,All ages,43.0,39.4,
Tulare,2023,Total population,,All ages,1573.0,31.8,
Tuolumne,2023,Total population,,All ages,218.0,51.8,
Ventura,2023,Total population,,All ages,2117.0,26.8,
Yolo,2023,Total population,,All ages,719.0,35.3,
Yuba,2023,Total population,,All ages,351.0,45.3,
