Model,R2,MAE,RMSE
Linear Regression,0.02065617049454238,0.7220081218507014,0.9046630284374497
Random Forest,-0.22095647657629636,0.7804583333333337,1.0101115518704964
Gradient Boosting,-0.42100508567719963,0.8380759694389868,1.0897253715503532
