Week,Statewide_Weighted_AQI
2020-01-05 23:59:59.999999999,73.01034308474068
2020-01-12 23:59:59.999999999,56.44576098387922
2020-01-19 23:59:59.999999999,63.02108238161758
2020-01-26 23:59:59.999999999,64.84370169749343
2020-02-02 23:59:59.999999999,59.804260325985936
2020-02-09 23:59:59.999999999,57.47187235443923
2020-02-16 23:59:59.999999999,58.97018012870966
2020-02-23 23:59:59.999999999,61.69975703058673
2020-03-01 23:59:59.999999999,54.96641283184023
2020-03-08 23:59:59.999999999,50.387046082959024
2020-03-15 23:59:59.999999999,41.452989716624025
2020-03-22 23:59:59.999999999,42.613501135550386
2020-03-29 23:59:59.999999999,45.3695462016937
2020-04-05 23:59:59.999999999,49.49922598255072
2020-04-12 23:59:59.999999999,40.72005296555302
2020-04-19 23:59:59.999999999,50.79035377954772
2020-04-26 23:59:59.999999999,76.21066111057826
2020-05-03 23:59:59.999999999,77.26179845581335
2020-05-10 23:59:59.999999999,105.74906648956797
2020-05-17 23:59:59.999999999,57.87345922090877
2020-05-24 23:59:59.999999999,59.44249529333952
2020-05-31 23:59:59.999999999,76.55161284425722
2020-06-07 23:59:59.999999999,75.96610854031618
2020-06-14 23:59:59.999999999,69.07841278269638
2020-06-21 23:59:59.999999999,66.69319390424356
2020-06-28 23:59:59.999999999,84.20252911614456
2020-07-05 23:59:59.999999999,83.48429643427147
2020-07-12 23:59:59.999999999,100.7486628200314
2020-07-19 23:59:59.999999999,77.64024694878866
2020-07-26 23:59:59.999999999,77.45905372586238
2020-08-02 23:59:59.999999999,93.11776170100035
2020-08-09 23:59:59.999999999,76.97485033382299
2020-08-16 23:59:59.999999999,101.37125787415332
2020-08-23 23:59:59.999999999,138.76688662298784
2020-08-30 23:59:59.999999999,97.88967210167114
2020-09-06 23:59:59.999999999,129.2033322692389
2020-09-13 23:59:59.999999999,143.49493293412323
2020-09-20 23:59:59.999999999,121.33630600681073
2020-09-27 23:59:59.999999999,93.84135462416172
2020-10-04 23:59:59.999999999,141.7486638644108
2020-10-11 23:59:59.999999999,92.7738864340676
2020-10-18 23:59:59.999999999,100.4896246334215
2020-10-25 23:59:59.999999999,74.34681574113148
2020-11-01 23:59:59.999999999,91.29913504974732
2020-11-08 23:59:59.999999999,68.67089190332625
2020-11-15 23:59:59.999999999,63.43094868374072
2020-11-22 23:59:59.999999999,67.05827650480367
2020-11-29 23:59:59.999999999,68.10820132925484
2020-12-06 23:59:59.999999999,78.79694456018541
2020-12-13 23:59:59.999999999,70.51344889881459
2020-12-20 23:59:59.999999999,65.28188333912198
2020-12-27 23:59:59.999999999,68.59725998522833
2021-01-03 23:59:59.999999999,69.75299490552122
2021-01-10 23:59:59.999999999,71.60299900851777
2021-01-17 23:59:59.999999999,72.03366439300088
2021-01-24 23:59:59.999999999,55.86313673509998
2021-01-31 23:59:59.999999999,49.63116721818296
2021-02-07 23:59:59.999999999,60.81195256323163
2021-02-14 23:59:59.999999999,59.686049718599406
2021-02-21 23:59:59.999999999,50.951514783564846
2021-02-28 23:59:59.999999999,55.543128074439274
2021-03-07 23:59:59.999999999,53.78978854912106
2021-03-14 23:59:59.999999999,49.09321980267532
2021-03-21 23:59:59.999999999,48.4682837929396
2021-03-28 23:59:59.999999999,53.46512295748095
2021-04-04 23:59:59.999999999,70.49883519248388
2021-04-11 23:59:59.999999999,66.85103353900583
2021-04-18 23:59:59.999999999,64.30836089494524
2021-04-25 23:59:59.999999999,58.94412129224349
2021-05-02 23:59:59.999999999,64.67116805281611
2021-05-09 23:59:59.999999999,72.07023733893944
2021-05-16 23:59:59.999999999,71.05071354613295
2021-05-23 23:59:59.999999999,58.7955569988862
2021-05-30 23:59:59.999999999,70.7477417108181
2021-06-06 23:59:59.999999999,81.25405145762649
2021-06-13 23:59:59.999999999,67.73653561922494
2021-06-20 23:59:59.999999999,102.89692381763251
2021-06-27 23:59:59.999999999,68.3512660269996
2021-07-04 23:59:59.999999999,86.12727391147445
2021-07-11 23:59:59.999999999,104.08526923487405
2021-07-18 23:59:59.999999999,83.62502025111999
2021-07-25 23:59:59.999999999,81.93424188894548
2021-08-01 23:59:59.999999999,73.57790168091066
2021-08-08 23:59:59.999999999,99.3526373899057
2021-08-15 23:59:59.999999999,85.12159435113621
2021-08-22 23:59:59.999999999,78.84860442454185
2021-08-29 23:59:59.999999999,125.81705391708655
2021-09-05 23:59:59.999999999,97.52569405337161
2021-09-12 23:59:59.999999999,96.43549717332938
2021-09-19 23:59:59.999999999,85.30763831562268
2021-09-26 23:59:59.999999999,77.24197909359525
2021-10-03 23:59:59.999999999,76.47556819730055
2021-10-10 23:59:59.999999999,59.955121742237075
2021-10-17 23:59:59.999999999,74.38877477543491
2021-10-24 23:59:59.999999999,52.66638667234043
2021-10-31 23:59:59.999999999,58.0288402550024
2021-11-07 23:59:59.999999999,72.9803313043931
2021-11-14 23:59:59.999999999,63.6793618172305
2021-11-21 23:59:59.999999999,79.5007418690619
2021-11-28 23:59:59.999999999,67.2866175693637
2021-12-05 23:59:59.999999999,96.94569568284984
2021-12-12 23:59:59.999999999,69.28329852542441
2021-12-19 23:59:59.999999999,57.21008121301985
2021-12-26 23:59:59.999999999,60.68336741416697
2022-01-02 23:59:59.999999999,51.46172071797945
2022-01-09 23:59:59.999999999,64.22523018372776
2022-01-16 23:59:59.999999999,68.1231258052413
2022-01-23 23:59:59.999999999,65.17199151035206
2022-01-30 23:59:59.999999999,64.98264183709777
2022-02-06 23:59:59.999999999,65.73102144121385
2022-02-13 23:59:59.999999999,64.85357934051844
