COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
San Bernardino,2021,Total population,All ages,All ages,571.0,2.6,
San Diego,2021,Total population,All ages,All ages,861.0,2.6,
San Francisco,2021,Total population,All ages,All ages,233.0,3.0,
San Joaquin,2021,Total population,All ages,All ages,206.0,2.7,
San Luis Obispo,2021,Total population,All ages,All ages,30.0,1.3,
San Mateo,2021,Total population,All ages,All ages,90.0,1.2,
Santa Barbara,2021,Total population,All ages,All ages,60.0,1.4,
Santa Clara,2021,Total population,All ages,All ages,325.0,1.7,
Santa Cruz,2021,Total population,All ages,All ages,41.0,1.8,
Shasta,2021,Total population,All ages,All ages,36.0,2.1,
Sierra,2021,Total population,All ages,All ages,0.0,0.0,
Siskiyou,2021,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2021,Total population,All ages,All ages,105.0,2.5,
Sonoma,2021,Total population,All ages,All ages,43.0,0.9,
Stanislaus,2021,Total population,All ages,All ages,151.0,2.8,
Sutter,2021,Total population,All ages,All ages,24.0,2.5,
Tehama,2021,Total population,All ages,All ages,12.0,2.0,
Trinity,2021,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2021,Total population,All ages,All ages,121.0,2.4,
Tuolumne,2021,Total population,All ages,All ages,9.0,,Rate not available due to statistical instability
Ventura,2021,Total population,All ages,All ages,146.0,1.8,
Yolo,2021,Total population,All ages,All ages,48.0,2.6,
Yuba,2021,Total population,All ages,All ages,26.0,3.5,
Alameda,2022,Total population,All ages,All ages,469.0,3.0,
Alpine,2022,Total population,All ages,All ages,0.0,0.0,
Amador,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2022,Total population,All ages,All ages,70.0,3.5,
Calaveras,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2022,Total population,All ages,All ages,7.0,,Rate not available due to statistical instability
Contra Costa,2022,Total population,All ages,All ages,337.0,3.1,
Del Norte,2022,Total population,All ages,All ages,11.0,,Rate not available due to statistical instability
El Dorado,2022,Total population,All ages,All ages,66.0,3.8,
Fresno,2022,Total population,All ages,All ages,644.0,6.2,
Glenn,2022,Total population,All ages,All ages,8.0,,Rate not available due to statistical instability
Humboldt,2022,Total population,All ages,All ages,22.0,1.7,
Imperial,2022,Total population,All ages,All ages,55.0,2.6,
Inyo,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2022,Total population,All ages,All ages,246.0,2.6,
Kings,2022,Total population,All ages,All ages,44.0,2.8,
Lake,2022,Total population,All ages,All ages,16.0,3.0,
Lassen,2022,Total population,All ages,All ages,7.0,,Rate not available due to statistical instability
Los Angeles,2022,Total population,All ages,All ages,4130.0,4.5,
Madera,2022,Total population,All ages,All ages,51.0,3.3,
Marin,2022,Total population,All ages,All ages,44.0,2.2,
Mariposa,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2022,Total population,All ages,All ages,18.0,2.3,
Merced,2022,Total population,All ages,All ages,107.0,3.7,
Modoc,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2022,Total population,All ages,All ages,186.0,4.3,
Napa,2022,Total population,All ages,All ages,15.0,1.3,
Nevada,2022,Total population,All ages,All ages,22.0,3.3,
Orange,2022,Total population,All ages,All ages,803.0,2.7,
Placer,2022,Total population,All ages,All ages,98.0,2.9,
Plumas,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2022,Total population,All ages,All ages,854.0,3.7,
Sacramento,2022,Total population,All ages,All ages,717.0,4.8,
San Benito,2022,Total population,All ages,All ages,19.0,3.3,
San Bernardino,2022,Total population,All ages,All ages,923.0,4.3,
San Diego,2022,Total population,All ages,All ages,1427.0,4.5,
San Francisco,2022,Total population,All ages,All ages,252.0,3.6,
San Joaquin,2022,Total population,All ages,All ages,297.0,4.0,
San Luis Obispo,2022,Total population,All ages,All ages,43.0,2.0,
San Mateo,2022,Total population,All ages,All ages,148.0,2.2,
Santa Barbara,2022,Total population,All ages,All ages,71.0,1.6,
Santa Clara,2022,Total population,All ages,All ages,558.0,3.0,
Santa Cruz,2022,Total population,All ages,All ages,66.0,2.9,
Shasta,2022,Total population,All ages,All ages,44.0,2.7,
Sierra,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2022,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2022,Total population,All ages,All ages,108.0,2.7,
Sonoma,2022,Total population,All ages,All ages,78.0,1.8,
Stanislaus,2022,Total population,All ages,All ages,232.0,4.2,
Sutter,2022,Total population,All ages,All ages,37.0,3.8,
Tehama,2022,Total population,All ages,All ages,14.0,2.4,
Trinity,2022,Total population,All ages,All ages,0.0,0.0,
Tulare,2022,Total population,All ages,All ages,182.0,3.6,
Tuolumne,2022,Total population,All ages,All ages,13.0,2.5,
Ventura,2022,Total population,All ages,All ages,188.0,2.4,
Yolo,2022,Total population,All ages,All ages,61.0,3.1,
Yuba,2022,Total population,All ages,All ages,26.0,3.3,
Alameda,2023,Total population,All ages,All ages,534.0,3.4,
Alpine,2023,Total population,All ages,All ages,0.0,0.0,
Amador,2023,Total population,All ages,All ages,12.0,4.0,
Butte,2023,Total population,All ages,All ages,52.0,2.4,
Calaveras,2023,Total population,All ages,All ages,9.0,,Rate not available due to statistical instability
Colusa,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2023,Total population,All ages,All ages,335.0,3.0,
Del Norte,2023,Total population,All ages,All ages,7.0,,Rate not available due to statistical instability
El Dorado,2023,Total population,All ages,All ages,63.0,4.1,
Fresno,2023,Total population,All ages,All ages,525.0,5.0,
Glenn,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2023,Total population,All ages,All ages,19.0,1.7,
Imperial,2023,Total population,All ages,All ages,63.0,3.1,
Inyo,2023,Total population,All ages,All ages,7.0,,Rate not available due to statistical instability
Kern,2023,Total population,All ages,All ages,209.0,2.3,
Kings,2023,Total population,All ages,All ages,55.0,3.3,
Lake,2023,Total population,All ages,All ages,21.0,3.8,
Lassen,2023,Total population,All ages,All ages,8.0,,Rate not available due to statistical instability
Los Angeles,2023,Total population,All ages,All ages,4323.0,4.6,
Madera,2023,Total population,All ages,All ages,61.0,3.9,
Marin,2023,Total population,All ages,All ages,48.0,2.8,
Mariposa,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2023,Total population,All ages,All ages,14.0,1.9,
Merced,2023,Total population,All ages,All ages,84.0,3.0,
Modoc,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2023,Total population,All ages,All ages,165.0,3.8,
Napa,2023,Total population,All ages,All ages,23.0,1.8,
Nevada,2023,Total population,All ages,All ages,20.0,2.8,
Orange,2023,Total population,All ages,All ages,854.0,2.8,
Placer,2023,Total population,All ages,All ages,137.0,4.3,
Plumas,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2023,Total population,All ages,All ages,892.0,3.8,
Sacramento,2023,Total population,All ages,All ages,783.0,5.2,
San Benito,2023,Total population,All ages,All ages,24.0,4.5,
San Bernardino,2023,Total population,All ages,All ages,942.0,4.3,
San Diego,2023,Total population,All ages,All ages,1549.0,4.9,
San Francisco,2023,Total population,All ages,All ages,342.0,4.5,
San Joaquin,2023,Total population,All ages,All ages,263.0,3.4,
San Luis Obispo,2023,Total population,All ages,All ages,55.0,2.6,
San Mateo,2023,Total population,All ages,All ages,189.0,2.8,
Santa Barbara,2023,Total population,All ages,All ages,68.0,1.5,
Santa Clara,2023,Total population,All ages,All ages,627.0,3.4,
Santa Cruz,2023,Total population,All ages,All ages,63.0,2.5,
Shasta,2023,Total population,All ages,All ages,49.0,3.1,
Sierra,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2023,Total population,All ages,All ages,6.0,,Rate not available due to statistical instability
Solano,2023,Total population,All ages,All ages,108.0,2.6,
Sonoma,2023,Total population,All ages,All ages,141.0,3.3,
Stanislaus,2023,Total population,All ages,All ages,205.0,3.7,
Sutter,2023,Total population,All ages,All ages,31.0,3.1,
Tehama,2023,Total population,All ages,All ages,16.0,2.6,
Trinity,2023,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2023,Total population,All ages,All ages,153.0,3.1,
Tuolumne,2023,Total population,All ages,All ages,16.0,4.0,
Ventura,2023,Total population,All ages,All ages,194.0,2.4,
Yolo,2023,Total population,All ages,All ages,54.0,2.9,
