WeekEnd,Actual,ARIMA_Forecast,SARIMA_Forecast,RandomForest
2024-01-07,54.50125811746838,66.06030357314445,58.55075583914021,
2024-01-14,54.66286648333847,66.59354762832002,58.39513094343418,
2024-01-21,62.43923962739049,66.55822089162443,57.48017199785938,
2024-01-28,48.62873104159881,66.56056124275155,61.03950595139551,69.47825540034418
2024-02-04,48.92643064203049,66.56040619748242,60.279006766451246,49.885406452513145
2024-02-11,44.65419396946771,66.56041646903321,58.98761019484334,51.10987162858934
2024-02-18,55.54581881985564,66.56041578855611,56.62661153220476,50.361237842472875
2024-02-25,46.99266123945979,66.56041583363685,52.10531057006439,60.076346624955136
2024-03-03,45.96726491576018,66.56041583065031,51.27896364741243,49.66832019651906
2024-03-10,42.68030000472865,66.56041583084817,48.16528861531682,48.516601896256525
2024-03-17,43.33303012356907,66.56041583083507,50.36593956399373,48.73241091030883
2024-03-24,51.34727270719867,66.56041583083594,51.11327673201133,48.36111331874281
2024-03-31,43.4525232201394,66.56041583083588,51.541593416846766,59.63057669515952
2024-04-07,46.21387432857018,66.56041583083588,64.74688358763572,49.30447707008579
2024-04-14,59.472208974840505,66.56041583083588,62.943958744545384,47.617002773878866
2024-04-21,69.96464269610249,66.56041583083588,62.91136772172095,64.19163741150379
2024-04-28,53.65814710310699,66.56041583083588,77.51922616925462,64.28822434126289
2024-05-05,59.92344800490316,66.56041583083588,58.761103350568796,56.75267236807413
2024-05-12,62.63595678615557,66.56041583083588,66.88048502871288,60.433920805463025
2024-05-19,65.09373365169249,66.56041583083588,72.76869435462879,63.88617734761624
2024-05-26,58.604301462326674,66.56041583083588,80.1096886719308,62.67552410700195
2024-06-02,72.14726400197712,66.56041583083588,64.30201467632574,62.500770313314895
2024-06-09,76.3464837965482,66.56041583083588,70.68260576387785,65.4032274562969
2024-06-16,89.9111165524023,66.56041583083588,65.13281693609481,68.91175316040322
2024-06-23,96.10163513248824,66.56041583083588,74.51390052876448,70.96897494256947
2024-06-30,91.16001642948892,66.56041583083588,85.66562319860786,75.16650682136229
2024-07-07,113.47412407829016,66.56041583083588,77.02217872048777,81.04173061747271
2024-07-14,116.03922216024318,66.56041583083588,98.61527594039596,104.3414259575459
2024-07-21,98.21069169275115,66.56041583083588,97.07339243449579,102.58214352537361
2024-07-28,94.24972358128625,66.56041583083588,92.58012482328635,89.60326662492454
2024-08-04,97.3833113287364,66.56041583083588,80.37798054391588,81.9786552937084
2024-08-11,104.8854930104619,66.56041583083588,71.6191771258041,91.7185974522077
2024-08-18,76.01508841535872,66.56041583083588,86.24651084455495,100.80532947175291
2024-08-25,77.30528177295031,66.56041583083588,79.16814517820146,83.87337728335812
2024-09-01,102.85286295056262,66.56041583083588,95.97843073590724,81.61199355179012
2024-09-08,112.66254768160512,66.56041583083588,84.41266724567936,80.60283820579257
2024-09-15,87.62465386125797,66.56041583083588,62.43377406327952,93.6167326302851
2024-09-22,59.95412360615747,66.56041583083588,69.55609678249228,85.198775062072
2024-09-29,90.52230588305088,66.56041583083588,70.54823067113601,70.02938023252312
2024-10-06,114.67193970259038,66.56041583083588,79.71822104761397,73.8329114912669
2024-10-13,78.36022400117044,66.56041583083588,62.587938427210496,93.41046393009168
2024-10-20,57.4924626988125,66.56041583083588,72.1642871456438,84.5371334827149
2024-10-27,80.06822298640105,66.56041583083588,54.13382632244659,66.34010337260513
2024-11-03,50.50884863251204,66.56041583083588,61.87756452638849,71.3292657015861
2024-11-10,63.19523357974614,66.56041583083588,54.04060273065287,59.92748961063229
2024-11-17,56.23697955775327,66.56041583083588,57.97400624828876,69.09537828974264
2024-11-24,55.17041905183132,66.56041583083588,63.36415497229656,55.25738599368205
2024-12-01,57.52614987158381,66.56041583083588,56.22028233158906,55.165538698410224
2024-12-08,92.18686146178564,66.56041583083588,54.86963663996988,57.94823051951909
2024-12-15,65.44795850023603,66.56041583083588,64.66943163066934,76.23166240858868
2024-12-22,71.00449646551263,66.56041583083588,70.33399624126302,83.4337945862495
2024-12-29,69.11533700084054,66.56041583083588,60.63505035723471,75.28170111688186
2025-01-05,83.21746428879163,66.56041583083588,52.19890908712086,68.92236353303244
